source_kind,edge_type,target_kind,count
AUTHORITY,part_of,AUTHORITY,36215
AUTHORITY,member_of,AUTHORITY,32520
AUTHORITY,categorized_as,,21778
AUTHORITY,BELONGS_TO,AUTHORITY,15695
VIOLATION,seeks,,12818
VIOLATION,cites,AUTHORITY|MCR,5723
VIOLATION,cites,AUTHORITY|MCL,5305
ACTOR|VIOLATION,seeks,,5056
VIOLATION,REMEDIED_BY,REMEDY,4624
VIOLATION,through,,4012
CATEGORY|VIOLATION,seeks,,3954
VIOLATION,through,CATEGORY,3102
ACTOR|VIOLATION,REMEDIED_BY,REMEDY,2888
,categorizes,,2726
ACTOR|VIOLATION,through,,2386
VIOLATION,venue,ACTOR,2360
CATEGORY|VIOLATION,cites,AUTHORITY|MCR,2172
CATEGORY|VIOLATION,cites,AUTHORITY|MCL,2099
AUTHORITY,spoke_link,AUTHORITY,1779
VIOLATION,seeks,CATEGORY,1720
CATEGORY|VIOLATION,belongs_to,CATEGORY,1705
VIOLATION,categorized_as,VIOLATION,1544
ACTOR|VIOLATION,cites,AUTHORITY|MCR,1520
CATEGORY,categorizes,VIOLATION,1495
CATEGORY|VIOLATION,categorized_as,VIOLATION,1355
,categorizes,ACTOR|VIOLATION,1295
AUTHORITY|MCR,spoke_link,VIOLATION,1250
CATEGORY|VIOLATION,REMEDIED_BY,REMEDY,1233
,categorizes,VIOLATION,1228
ACTOR|VIOLATION,venue,ACTOR,1192
VIOLATION,REMEDIED_BY,,1130
CATEGORY|VIOLATION,through,,1078
AUTHORITY|CATEGORY,BELONGS_TO,AUTHORITY,1077
,categorized_as,,998
ACTOR|VIOLATION,seeks,ACTOR,998
ACTOR|VIOLATION,cites,AUTHORITY|CANON|CATEGORY,974
ACTOR|VIOLATION,venue,CATEGORY,974
CATEGORY,categorizes,CATEGORY|VIOLATION,891
,authority_of,,885
,spoke_link,AUTHORITY,747
ACTOR|CATEGORY|VIOLATION,belongs_to,CATEGORY,685
CATEGORY,categorizes,ACTOR|VIOLATION,685
ACTOR|VIOLATION,categorized_as,VIOLATION,668
,categorizes,CATEGORY|VIOLATION,660
,spoke_link,VIOLATION,630
CATEGORY|VIOLATION,through,CATEGORY,628
AUTHORITY|MCL,spoke_link,VIOLATION,625
CATEGORY|VIOLATION,venue,ACTOR,578
,includes,,560
AUTHORITY,member_of,AUTHORITY|CATEGORY,535
ACTOR,spoke_link,VIOLATION,524
ACTOR|CATEGORY|VIOLATION,seeks,,516
AUTHORITY|MCR,spoke_link,CATEGORY|VIOLATION,490
CATEGORY,categorizes,CATEGORY,451
ACTOR|VIOLATION,cites,AUTHORITY|MCL,444
ACTOR|CATEGORY|VIOLATION,categorized_as,VIOLATION,440
CATEGORY|VIOLATION,through,AUTHORITY|SCAO,428
,RELATES_TO,CATEGORY,361
,categorizes,ACTOR|CATEGORY|VIOLATION,331
,belongs_to,,315
,on_page,,315
,includes,CATEGORY,294
,spoke_link,CATEGORY|VIOLATION,245
AUTHORITY|MCL,spoke_link,CATEGORY|VIOLATION,245
ACTOR|VIOLATION,through,CATEGORY,238
ACTOR,spoke_link,CATEGORY|VIOLATION,222
ACTOR|CATEGORY|VIOLATION,cites,AUTHORITY|MCR,217
ACTOR|CATEGORY|VIOLATION,REMEDIED_BY,REMEDY,213
CATEGORY,categorizes,ACTOR|CATEGORY|VIOLATION,206
VIOLATION,through,AUTHORITY|SCAO,204
VIOLATION,belongs_to,,200
CATEGORY|VIOLATION,seeks,CATEGORY,196
,crosswalk,AUTHORITY,195
ACTOR|CATEGORY|VIOLATION,through,,194
ACTOR,categorized_as,,190
CATEGORY,categorized_as,,182
CATEGORY,categorizes,,176
ACTOR|CATEGORY|VIOLATION,cites,AUTHORITY|MCL,169
,on_page,ACTOR,157
,belongs_to,ACTOR,157
,related_to,,150
ACTOR|VIOLATION,seeks,CATEGORY,148
,contains,,138
,spoke_link,,138
CATEGORY|VIOLATION,REMEDIED_BY,,136
,categorizes,ACTOR,109
ACTOR|CATEGORY|VIOLATION,venue,ACTOR,103
,categorizes,CATEGORY,99
VIOLATION,seeks,ACTOR,96
ACTOR|VIOLATION,involves,ACTOR,89
,category_of,,85
,RELATES_TO,,85
AUTHORITY,authority_of,AUTHORITY,80
,member_of,AUTHORITY,80
,includes,AUTHORITY|CONSTITUTION/USC,80
ACTOR,contradicts,ACTOR,76
,case_of,,75
,next,,72
ACTOR|VIOLATION,REMEDIED_BY,,72
CATEGORY,categorizes,ACTOR,71
,index_of,,70
VIOLATION,cites,AUTHORITY|CANON|CATEGORY,68
VIOLATION,on,,68
ACTOR|CATEGORY|VIOLATION,actor_link,ACTOR,66
VIOLATION,venue,CATEGORY,66
,guided_by,AUTHORITY|BENCHBOOK,65
ACTOR|VIOLATION,belongs_to,,60
AUTHORITY|SCAO,index_of,,60
AUTHORITY|SCAO,category_of,,60
AUTHORITY,related_to,AUTHORITY,60
,ethics_related,AUTHORITY|CANON|CATEGORY,60
VIOLATION,implicates,AUTHORITY,60
CATEGORY,includes_step,,60
,controlled_by,AUTHORITY,60
,part_of,,57
ACTOR,spoke_link,ACTOR|VIOLATION,57
AUTHORITY|SCAO,guided_by,AUTHORITY|BENCHBOOK,55
CATEGORY,categorizes,ACTOR|CATEGORY,53
,authorized_by,AUTHORITY,52
AUTHORITY|CONSTITUTION/USC,authority_of,,50
AUTHORITY|CONSTITUTION/USC,implicates,CATEGORY,50
ACTOR|CATEGORY|VIOLATION,through,CATEGORY,50
ACTOR|CATEGORY|VIOLATION,cites,AUTHORITY|CANON|CATEGORY,49
ACTOR|CATEGORY|VIOLATION,seeks,ACTOR,49
ACTOR|CATEGORY|VIOLATION,venue,CATEGORY,49
,describes,,47
AUTHORITY|CONSTITUTION/USC,categorized_as,,46
CATEGORY,categorizes,AUTHORITY|BENCHBOOK|CATEGORY,46
AUTHORITY|CANON|CATEGORY,authority_of,AUTHORITY|CANON|CATEGORY,45
AUTHORITY|CANON|CATEGORY,trigger,,45
AUTHORITY,requires,,44
ACTOR|VIOLATION,through,AUTHORITY|SCAO,44
ACTOR|CATEGORY|VIOLATION,through,AUTHORITY|SCAO,44
,categorizes,ACTOR|CATEGORY,42
AUTHORITY,chapter_of,AUTHORITY,40
ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,seeks,,40
AUTHORITY,RELATES_TO,CATEGORY,40
CATEGORY,RELATES_TO,CATEGORY,39
,belongs_to,ACTOR|CATEGORY,36
ACTOR|CATEGORY,categorized_as,,36
,on_page,ACTOR|CATEGORY,36
,related_to,AUTHORITY|BENCHBOOK,35
AUTHORITY|CATEGORY,part_of,AUTHORITY,35
ACTOR|AUTHORITY|SCAO,cites,AUTHORITY,35
AUTHORITY,controls,ACTOR|AUTHORITY|SCAO,35
AUTHORITY|CANON|CATEGORY,categorized_as,,35
AUTHORITY|CATEGORY|CONSTITUTION/USC,BELONGS_TO,AUTHORITY,34
AUTHORITY|MCR,spoke_link,ACTOR|VIOLATION,32
CATEGORY,categorized_as,VIOLATION,31
AUTHORITY,topic_of,AUTHORITY,30
,related_to,AUTHORITY,30
,interprets,AUTHORITY|CATEGORY|CONSTITUTION/USC,30
VIOLATION,implicates,,30
ACTOR,contradicts,ACTOR|CATEGORY,30
,references,AUTHORITY|MCL,30
VIOLATION,venue,,28
,authority_of,AUTHORITY,28
CATEGORY,categorizes,AUTHORITY|CANON|CATEGORY,28
,evidence-of,ACTOR,27
AUTHORITY|CATEGORY|SCAO,categorized_as,,27
AUTHORITY|MCL,BELONGS_TO,AUTHORITY,27
AUTHORITY|CANON|CATEGORY,RELATES_TO,CATEGORY,27
ACTOR|AUTHORITY|SCAO|VIOLATION,seeks,,26
AUTHORITY|MCR,spoke_link,ACTOR|CATEGORY|VIOLATION,26
CATEGORY,related_to,,25
VIOLATION,authority_of,,25
,stage_of,,25
,instruction_of,,25
ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,REMEDIED_BY,REMEDY,25
AUTHORITY|MCR,BELONGS_TO,AUTHORITY,25
CATEGORY,categorizes,AUTHORITY,23
AUTHORITY|CATEGORY,categorized_as,,22
ACTOR,spoke_link,ACTOR|CATEGORY|VIOLATION,22
,catalog,,21
AUTHORITY|CATEGORY|CONSTITUTION/USC,authority_of,,20
AUTHORITY|CATEGORY|CONSTITUTION/USC,implicates,CATEGORY,20
AUTHORITY|BENCHBOOK,section_of,AUTHORITY|BENCHBOOK,20
,interprets,,20
ACTOR,interprets,,20
ACTOR,related_to,,20
,related_to,CATEGORY,20
AUTHORITY|CONSTITUTION/USC,crosswalk,AUTHORITY,20
ACTOR|CATEGORY|VIOLATION,seeks,CATEGORY,20
ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,through,,20
,includes,AUTHORITY|BENCHBOOK|CANON|CATEGORY,20
,includes,AUTHORITY|BENCHBOOK,20
,includes,AUTHORITY|CATEGORY|CONSTITUTION/USC,20
ACTOR,describes,,20
CATEGORY,categorizes,AUTHORITY|BENCHBOOK,19
AUTHORITY|CATEGORY|CONSTITUTION/USC,categorized_as,,18
ACTOR|VIOLATION,on,,18
,references,AUTHORITY|MCR,18
,categorizes,ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,18
AUTHORITY|BENCHBOOK|CATEGORY,RELATES_TO,CATEGORY,18
AUTHORITY,RELATES_TO,,17
,requires,,16
,responds_to,AUTHORITY,16
,spoke_link,ACTOR|VIOLATION,16
AUTHORITY|MCL,spoke_link,ACTOR|VIOLATION,16
AUTHORITY|MCL,categorized_as,,16
CATEGORY,governed_by,AUTHORITY,15
AUTHORITY|CATEGORY|CONSTITUTION/USC,authority_of,CATEGORY,15
AUTHORITY|BENCHBOOK|CATEGORY,part_of,AUTHORITY,15
AUTHORITY|BENCHBOOK|CATEGORY,member_of,AUTHORITY,15
ACTOR,case_of,,15
VIOLATION,categorized_as,,15
AUTHORITY|SCAO,categorized_as,,15
AUTHORITY|MCR,categorized_as,,15
ACTOR|AUTHORITY|SCAO|VIOLATION,through,,14
VIOLATION,seeks_form,AUTHORITY|SCAO,14
ACTOR|AUTHORITY|SCAO|VIOLATION,REMEDIED_BY,REMEDY,14
AUTHORITY|CONSTITUTION/USC,BELONGS_TO,AUTHORITY,14
,spoke_link,ACTOR|CATEGORY|VIOLATION,13
AUTHORITY|MCL,spoke_link,ACTOR|CATEGORY|VIOLATION,13
,categorized_as,VIOLATION,13
CATEGORY,member_of,AUTHORITY,12
,authorized_by,,12
,needs_ocr,,12
ACTOR|CATEGORY,seeks,,12
CATEGORY|VIOLATION,supported_by,ACTOR,12
,nucleus_link,,12
,categorizes,AUTHORITY,12
CATEGORY,RELATES_TO,,12
ACTOR|AUTHORITY|SCAO,categorized_as,,11
CATEGORY,categorizes,AUTHORITY|BENCHBOOK|CANON|CATEGORY,11
CATEGORY,authority_of,,10
,jurisdiction_of,,10
,related_to,ACTOR,10
AUTHORITY|CANON|CATEGORY,part_of,AUTHORITY,10
AUTHORITY|CANON|CATEGORY,member_of,AUTHORITY,10
ACTOR|AUTHORITY,part_of,AUTHORITY,10
AUTHORITY|CATEGORY,member_of,AUTHORITY,10
ACTOR|AUTHORITY|SCAO,index_of,,10
AUTHORITY|SCAO,cites,AUTHORITY,10
AUTHORITY,controls,AUTHORITY|SCAO,10
ACTOR|AUTHORITY|SCAO,category_of,,10
AUTHORITY|BENCHBOOK|CATEGORY,section_of,AUTHORITY|BENCHBOOK,10
CATEGORY,interprets,AUTHORITY|CATEGORY|CONSTITUTION/USC,10
CATEGORY|VIOLATION,implicates,AUTHORITY,10
ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,cites,AUTHORITY|CANON|CATEGORY,10
ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,cites,AUTHORITY|MCR,10
ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,seeks,ACTOR,10
ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,venue,ACTOR,10
ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,venue,CATEGORY,10
CATEGORY,seeks,,10
CATEGORY,categorizes,AUTHORITY|MCL,10
,petal,,10
AUTHORITY|CONSTITUTION/USC,categorized_as,VIOLATION,10
CATEGORY,covers,,9
,contains,ACTOR|CATEGORY|VIOLATION,9
,on_page,ACTOR|AUTHORITY|SCAO,9
,belongs_to,ACTOR|AUTHORITY|SCAO,9
AUTHORITY|BENCHBOOK|CATEGORY,categorized_as,,9
ACTOR|CATEGORY|VIOLATION,categorized_as,,9
ACTOR|CATEGORY,evidences,,9
ACTOR,seeks,,9
CATEGORY,flags,,9
CATEGORY|VIOLATION,venue,,8
CATEGORY|VIOLATION,on,,8
CATEGORY,cites,AUTHORITY|MCR,8
ACTOR|AUTHORITY|SCAO|VIOLATION,cites,AUTHORITY|MCR,8
AUTHORITY,spoke_link,,8
ACTOR|CATEGORY|VIOLATION,REMEDIED_BY,,8
REMEDY,RELATES_TO,CATEGORY,8
ACTOR|CATEGORY|VIOLATION,involves,ACTOR,7
,cites,,7
ACTOR|CATEGORY,contradicts,ACTOR,6
CATEGORY|VIOLATION,categorized_as,,6
,catalog,ACTOR|CATEGORY|VIOLATION,6
ACTOR|AUTHORITY,categorized_as,,6
ACTOR|AUTHORITY|CONSTITUTION/USC,categorized_as,,6
ACTOR,through,,6
ACTOR|AUTHORITY|SCAO|VIOLATION,venue,ACTOR,6
,includes,CATEGORY|VIOLATION,6
,references,AUTHORITY|CONSTITUTION/USC,6
AUTHORITY|CATEGORY|VIOLATION,cites,AUTHORITY|MCR,6
,categorizes,AUTHORITY|SCAO,6
,categorizes,ACTOR|AUTHORITY|CONSTITUTION/USC,6
CATEGORY,categorizes,ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,6
,categorizes,AUTHORITY|MCR,6
AUTHORITY,spoke_link,AUTHORITY|CATEGORY,6
VIOLATION,flags,,6
ACTOR|AUTHORITY|CONSTITUTION/USC|VIOLATION,categorized_as,VIOLATION,6
ACTOR|AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,belongs_to,CATEGORY,5
AUTHORITY|CATEGORY|VIOLATION,belongs_to,CATEGORY,5
AUTHORITY|VIOLATION,belongs_to,,5
,jurisdiction_of,ACTOR,5
CATEGORY,governed_by,,5
CATEGORY,governed_by,CATEGORY,5
AUTHORITY|CATEGORY|CONSTITUTION/USC,remedy_against,AUTHORITY|CANON|CATEGORY,5
,related_to,AUTHORITY|CANON|CATEGORY,5
AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,authority_of,CATEGORY,5
AUTHORITY|CATEGORY|CONSTITUTION/USC,related_to,AUTHORITY,5
AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,related_to,AUTHORITY,5
AUTHORITY|VIOLATION,part_of,AUTHORITY,5
AUTHORITY|BENCHBOOK,part_of,AUTHORITY,5
AUTHORITY|CATEGORY,topic_of,AUTHORITY,5
AUTHORITY|CATEGORY,member_of,AUTHORITY|CATEGORY,5
ACTOR|AUTHORITY,member_of,AUTHORITY,5
AUTHORITY|VIOLATION,member_of,AUTHORITY,5
AUTHORITY|BENCHBOOK,member_of,AUTHORITY,5
,related_to,AUTHORITY|SCAO,5
ACTOR|AUTHORITY|CONSTITUTION/USC,authority_of,,5
ACTOR|AUTHORITY|CONSTITUTION/USC,implicates,CATEGORY,5
ACTOR|AUTHORITY|SCAO,guided_by,AUTHORITY|BENCHBOOK,5
AUTHORITY|SCAO,guided_by,AUTHORITY|BENCHBOOK|CATEGORY,5
,guided_by,AUTHORITY|BENCHBOOK|CATEGORY,5
,manifests,,5
AUTHORITY|CANON|CATEGORY,violation_pathway,AUTHORITY|CATEGORY|CONSTITUTION/USC,5
CATEGORY,case_of,,5
VIOLATION,case_of,,5
,interprets,AUTHORITY,5
ACTOR|CATEGORY,cites,AUTHORITY|MCR,5
CATEGORY,categorizes,AUTHORITY|SCAO,5
ACTOR,categorized_as,VIOLATION,5
CATEGORY|VIOLATION,SUPPORTED_BY,AUTHORITY,5
ACTOR,member_of,AUTHORITY,4
ACTOR,responds_to,AUTHORITY,4
,responds_to,,4
CATEGORY,authorized_by,AUTHORITY,4
ACTOR|CATEGORY,cites,AUTHORITY|MCL,4
ACTOR|CATEGORY,through,,4
CATEGORY,cites,AUTHORITY|MCL,4
CATEGORY,seeks,CATEGORY,4
CATEGORY,through,,4
CATEGORY,through,CATEGORY,4
ACTOR|AUTHORITY|SCAO|VIOLATION,cites,AUTHORITY|CANON|CATEGORY,4
ACTOR|AUTHORITY|SCAO|VIOLATION,cites,AUTHORITY|MCL,4
ACTOR|AUTHORITY|SCAO|VIOLATION,seeks,ACTOR,4
ACTOR|AUTHORITY|SCAO|VIOLATION,venue,CATEGORY,4
AUTHORITY|CATEGORY|VIOLATION,cites,AUTHORITY|MCL,4
AUTHORITY|CATEGORY|VIOLATION,seeks,,4
AUTHORITY|VIOLATION,cites,AUTHORITY|MCR,4
AUTHORITY|VIOLATION,through,,4
,categorizes,ACTOR|AUTHORITY|SCAO|VIOLATION,4
,nucleus_link,CATEGORY,4
,spoke_link,AUTHORITY|CATEGORY,4
,spoke_link,AUTHORITY|CONSTITUTION/USC,4
ACTOR|CATEGORY,describes,,4
CATEGORY,describes,,4
CATEGORY|VIOLATION,RELATES_TO,,4
AUTHORITY|SCAO,RELATES_TO,CATEGORY,4
CATEGORY|VIOLATION,SUPPORTED_BY,AUTHORITY|MCR,4
,contains,ACTOR|CATEGORY,3
ACTOR|VIOLATION,categorized_as,,3
AUTHORITY|CATEGORY|VIOLATION,categorized_as,VIOLATION,3
VIOLATION,part_of,,3
CATEGORY,catalog,AUTHORITY|CONSTITUTION/USC|VIOLATION,3
AUTHORITY|VIOLATION,categorized_as,VIOLATION,3
ACTOR,evidences,,3
AUTHORITY|VIOLATION,categorized_as,,3
,belongs_to,CATEGORY,3
,on_page,CATEGORY,3
AUTHORITY|BENCHBOOK,categorized_as,,3
,on_page,ACTOR|VIOLATION,3
,contains,ACTOR,3
,on_page,CATEGORY|VIOLATION,3
ACTOR|AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,categorized_as,VIOLATION,3
CATEGORY,catalog,VIOLATION,3
AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,categorized_as,,3
,catalog,CATEGORY,3
CATEGORY,contradicts,ACTOR|CATEGORY,3
,belongs_to,ACTOR|VIOLATION,3
,contains,CATEGORY,3
,belongs_to,CATEGORY|VIOLATION,3
ACTOR|CATEGORY,through,CATEGORY,3
ACTOR,cites,AUTHORITY|MCR,3
,categorizes,ACTOR|AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,3
CATEGORY,categorizes,ACTOR|AUTHORITY|CONSTITUTION/USC,3
ACTOR|CATEGORY,categorized_as,VIOLATION,3
AUTHORITY|MCL,RELATES_TO,CATEGORY,3
AUTHORITY|BENCHBOOK|CATEGORY,BELONGS_TO,AUTHORITY,3
ACTOR|CATEGORY,seeks,CATEGORY,2
ACTOR|CATEGORY,venue,ACTOR,2
CATEGORY,venue,ACTOR,2
CATEGORY,on,,2
ACTOR,cites,AUTHORITY|CANON|CATEGORY,2
ACTOR,seeks,ACTOR,2
ACTOR,venue,ACTOR,2
ACTOR,venue,CATEGORY,2
ACTOR|AUTHORITY|SCAO|VIOLATION,through,AUTHORITY|SCAO,2
AUTHORITY|CATEGORY|VIOLATION,through,CATEGORY,2
AUTHORITY|VIOLATION,seeks,,2
CATEGORY|VIOLATION,seeks_form,AUTHORITY|SCAO,2
,categorizes,AUTHORITY|VIOLATION,2
,categorizes,AUTHORITY|CATEGORY|CONSTITUTION/USC,2
,categorizes,ACTOR|AUTHORITY|SCAO,2
CATEGORY,categorizes,AUTHORITY|CATEGORY|CONSTITUTION/USC,2
CATEGORY,categorizes,AUTHORITY|CATEGORY|SCAO,2
,categorizes,AUTHORITY|BENCHBOOK|CATEGORY,2
CATEGORY,categorizes,AUTHORITY|CANON|CATEGORY|VIOLATION,2
CATEGORY,categorizes,AUTHORITY|CATEGORY,2
,categorizes,AUTHORITY|CONSTITUTION/USC,2
CATEGORY,categorizes,AUTHORITY|MCR,2
CATEGORY,categorizes,ACTOR|AUTHORITY|SCAO|VIOLATION,2
,nucleus_link,AUTHORITY,2
AUTHORITY,spoke_link,ACTOR|AUTHORITY,2
AUTHORITY,spoke_link,AUTHORITY|BENCHBOOK|CATEGORY,2
,nucleus_link,AUTHORITY|MCR,2
AUTHORITY|MCR,spoke_link,AUTHORITY|CATEGORY|VIOLATION,2
,flags,,2
ACTOR|AUTHORITY|SCAO|VIOLATION,categorized_as,VIOLATION,2
CATEGORY|VIOLATION,RELATES_TO,CATEGORY,2
AUTHORITY|CANON|CATEGORY|VIOLATION,RELATES_TO,CATEGORY,2
AUTHORITY|CANON|CATEGORY|VIOLATION,SUPPORTED_BY,AUTHORITY|MCR,2
AUTHORITY|VIOLATION,BELONGS_TO,AUTHORITY,2
ACTOR|AUTHORITY,BELONGS_TO,AUTHORITY,2
AUTHORITY|CANON|CATEGORY,BELONGS_TO,AUTHORITY,2
ACTOR|CATEGORY|VIOLATION,on,,1
ACTOR|CATEGORY,through,AUTHORITY|SCAO,1
ACTOR|AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,cites,AUTHORITY|MCL,1
AUTHORITY|VIOLATION,cites,AUTHORITY|MCL,1
,categorizes,AUTHORITY|CATEGORY|VIOLATION,1
,categorizes,ACTOR|AUTHORITY,1
,categorizes,AUTHORITY|BENCHBOOK|CATEGORY|CONSTITUTION/USC,1
CATEGORY,categorizes,ACTOR|AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,1
CATEGORY,categorizes,AUTHORITY|CATEGORY|VIOLATION,1
CATEGORY,categorizes,ACTOR|AUTHORITY,1
,categorizes,AUTHORITY|CATEGORY,1
CATEGORY,categorizes,AUTHORITY|BENCHBOOK|CATEGORY|VIOLATION,1
CATEGORY,categorizes,AUTHORITY|VIOLATION,1
CATEGORY,categorizes,AUTHORITY|BENCHBOOK|CATEGORY|CONSTITUTION/USC,1
,categorizes,AUTHORITY|BENCHBOOK,1
CATEGORY,categorizes,ACTOR|AUTHORITY|SCAO,1
,spoke_link,ACTOR|AUTHORITY,1
,spoke_link,AUTHORITY|CATEGORY|CONSTITUTION/USC,1
AUTHORITY,spoke_link,CATEGORY,1
AUTHORITY,spoke_link,AUTHORITY|VIOLATION,1
AUTHORITY,spoke_link,AUTHORITY|BENCHBOOK,1
,spoke_link,AUTHORITY|CATEGORY|VIOLATION,1
,nucleus_link,AUTHORITY|MCL,1
AUTHORITY|MCL,spoke_link,AUTHORITY|CATEGORY|VIOLATION,1
,nucleus_link,ACTOR,1
ACTOR,spoke_link,ACTOR|AUTHORITY|SCAO|VIOLATION,1
AUTHORITY|CONSTITUTION/USC,describes,,1
ACTOR|AUTHORITY|SCAO,categorized_as,VIOLATION,1
VIOLATION,petal,,1
AUTHORITY,categorized_as,VIOLATION,1
AUTHORITY|BENCHBOOK|CATEGORY,categorized_as,VIOLATION,1
AUTHORITY|CATEGORY|SCAO,RELATES_TO,CATEGORY,1
AUTHORITY|CATEGORY,RELATES_TO,CATEGORY,1
AUTHORITY|CATEGORY|CONSTITUTION/USC,RELATES_TO,,1
ACTOR|CATEGORY,RELATES_TO,,1
AUTHORITY|BENCHBOOK|CANON|CATEGORY,RELATES_TO,CATEGORY,1
VIOLATION,RELATES_TO,,1
ACTOR|CATEGORY,RELATES_TO,CATEGORY,1
AUTHORITY|CANON|CATEGORY,RELATES_TO,,1
ACTOR|CATEGORY|VIOLATION,SUPPORTED_BY,AUTHORITY|MCR,1
ACTOR|AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,BELONGS_TO,AUTHORITY,1
AUTHORITY|CATEGORY|VIOLATION,BELONGS_TO,AUTHORITY,1
AUTHORITY|BENCHBOOK,BELONGS_TO,AUTHORITY,1
AUTHORITY|BENCHBOOK|CATEGORY|CONSTITUTION/USC,BELONGS_TO,AUTHORITY,1
AUTHORITY|CATEGORY|CONSTITUTION/USC|VIOLATION,BELONGS_TO,AUTHORITY,1
ACTOR|AUTHORITY|CONSTITUTION/USC,BELONGS_TO,AUTHORITY,1
